SN,Source,WHO_REGION,Region,Country,ISO3,ISO2,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,IU_NAME,IU_ID,Location,SiteID,Longitude,Latitude,Georeliability,Location_type,Survey_type,Year,Age_start,Age_end,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence
24519,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,World Wide Mission School,,-10.36575,6.808389,3,,Mapping,2012,10,14,30,6,0.2,30,7,0.233333333,30,2,0.066666667
24520,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Worlorsue Public School,,-9.88398,7.1108,3,,Mapping,2012,10,14,30,14,0.466666667,30,10,0.333333333,30,7,0.233333333
24521,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Tappita,39222,Bong,26819,Wulapor Wula,,-9.01481,6.57008,4,,Mapping,2012,10,14,30,12,0.4,30,4,0.133333333,30,10,0.333333333
24522,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Yarkpawolo Suchpaye Pub. School,,-9.47212,7.00432,3,,Mapping,2012,10,15,29,10,0.344827586,29,4,0.137931034,29,2,0.068965517
24525,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Saclepea-Mah,39220,Bong,26819,Yila Public School,,-9.11445,6.86352,3,,Mapping,2012,10,14,30,10,0.333333333,30,6,0.2,30,9,0.3
24526,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Youth Mission Pub. Sch.,,-9.2372904,7.04849,3,,Mapping,2012,10,14,30,8,0.266666667,30,8,0.266666667,30,6,0.2
24527,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Zota,39181,Bong,26819,Yowee Public School,,-9.30995,7.18614,3,,Mapping,2012,10,14,30,23,0.766666667,30,11,0.366666667,30,11,0.366666667
24528,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Zarwuah Public,,-9.17425,6.83933,3,,Mapping,2012,10,13,30,11,0.366666667,30,5,0.166666667,30,5,0.166666667
24529,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,District #3,39189,Bong,26819,Zeo Public School,,-9.35708,6.62176,3,,Mapping,2012,10,14,30,11,0.366666667,30,8,0.266666667,30,6,0.2
24531,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Amdu Memorial Public,,-10.0807298,7.4952637,2,,Mapping,2013,10,16,30,7,0.233333333,30,3,0.1,30,0,0
24532,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Kongba,39186,Gbarpolu,26820,Amtel Community School,,-10.532424,7.4659822,1,,Mapping,2013,10,14,30,0,0,30,0,0,30,0,0
24533,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Beaden Public School,,-10.13976,7.52089,3,,Mapping,2013,9,14,30,0,0,30,0,0,30,0,0
24534,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Gbarma,39185,Gbarpolu,26820,Beatoe Public School,,-10.83029,7.02403,3,,Mapping,2013,9,14,30,3,0.1,30,0,0,30,0,0
24535,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Belle Baloma Public School,,-9.97816,7.57141,3,,Mapping,2013,10,15,30,0,0,30,0,0,30,0,0
24536,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bokomu,39183,Gbarpolu,26820,Bellekpamu,,-10.24497,7.15464,3,,Mapping,2013,9,16,30,9,0.3,30,4,0.133333333,30,0,0
24537,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Kongba,39186,Gbarpolu,26820,Bethuo Public School,,-10.54149,7.76965,3,,Mapping,2013,10,15,30,0,0,30,0,0,30,0,0
24538,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Bombomma Community School,,-10.58123,6.90921,3,,Mapping,2013,9,15,30,3,0.1,30,1,0.033333333,30,1,0.033333333
24539,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Bonah Memorial Public School,,-10.05352,7.55973,3,,Mapping,2013,10,15,30,5,0.166666667,30,2,0.066666667,30,0,0
24540,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Bopolu Bible Mission School,,-10.4829486,7.0665633,1,,Mapping,2013,10,14,30,0,0,30,3,0.1,30,0,0
24541,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Bopolu Public School,,-10.48656,7.069609,1,,Mapping,2013,9,15,30,3,0.1,30,0,0,30,0,0
24542,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Bowier Memorial Public School,,-10.34949,7.26774,3,,Mapping,2013,10,14,30,7,0.233333333,30,1,0.033333333,30,0,0
24543,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Kongba,39186,Gbarpolu,26820,Comp Alpha Poblic School,,-10.68601,7.51786,3,,Mapping,2013,9,14,30,1,0.033333333,30,0,0,30,1,0.033333333
24544,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Compoundsu Community School,,-10.54596,6.9362,3,,Mapping,2013,8,13,30,5,0.166666667,30,0,0,30,1,0.033333333
24545,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Kongba,39186,Gbarpolu,26820,Domamana Public,,-10.347034,7.72665,1,,Mapping,2013,10,14,30,0,0,30,0,0,30,0,0
24546,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Dorbor Memorial Public School,,-10.27554,7.44776,3,,Mapping,2013,10,15,30,5,0.166666667,30,1,0.033333333,30,0,0
24547,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Farwein Town Community School,,-10.52412,7.07739,3,,Mapping,2013,10,15,30,7,0.233333333,30,2,0.066666667,30,0,0
24548,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Fassama  Public School,,-9.99507,7.51942,3,,Mapping,2013,10,14,30,10,0.333333333,30,2,0.066666667,30,0,0
24549,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Fassama Mission School,,-10.00021,7.52143,3,,Mapping,2013,10,15,30,0,0,30,0,0,30,0,0
24550,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bokomu,39183,Gbarpolu,26820,Forkpa Ta Public School,,-10.04713,7.31777,3,,Mapping,2013,10,16,30,12,0.4,30,6,0.2,30,0,0
24551,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Belle Yella,39182,Gbarpolu,26820,Gatima Public School,,-10.05305,7.69565,3,,Mapping,2013,10,14,30,5,0.166666667,30,0,0,30,0,0
24552,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Gbarma,39185,Gbarpolu,26820,Gbarma Central Elementary,,-10.6421799,7.1628444,1,,Mapping,2013,10,13,30,6,0.2,30,3,0.1,30,0,0
24554,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bokomu,39183,Gbarpolu,26820,Gbarngay Public School,,-10.30856,7.18554,3,,Mapping,2013,9,14,30,8,0.266666667,30,4,0.133333333,30,0,0
24555,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Gbarquoita Public School,,-10.51386,7.11177,3,,Mapping,2013,9,14,30,5,0.166666667,30,2,0.066666667,30,0,0
24556,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bokomu,39183,Gbarpolu,26820,Gborketa Elem. & Jr High,,-10.06376,7.27491,3,,Mapping,2013,9,15,30,11,0.366666667,30,5,0.166666667,30,0,0
24557,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Gendema Community School,,-10.533333,6.983333,1,,Mapping,2013,9,13,30,7,0.233333333,30,4,0.133333333,30,0,0
24558,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bokomu,39183,Gbarpolu,26820,Gumgbeta Public,,-10.094094,7.259589,1,,Mapping,2013,9,15,30,10,0.333333333,30,1,0.033333333,30,0,0
24559,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Bopolu,39184,Gbarpolu,26820,Gunya Town Community School,,-10.54307,7.0918,3,,Mapping,2013,10,15,30,6,0.2,30,2,0.066666667,30,0,0
24560,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Gbarma,39185,Gbarpolu,26820,Hilton Dudee Public School,,-10.85157,7.0337,3,,Mapping,2013,10,15,30,3,0.1,30,1,0.033333333,30,0,0
24561,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Kongba,39186,Gbarpolu,26820,Jarwajei Bowar Public School,,-10.61139,7.59745,3,,Mapping,2013,9,15,30,0,0,30,0,0,30,0,0
24562,SCI,AFRO,Western Africa,Liberia,LBR,LR,Gbarpolu,2748,Kongba,39186,Gbarpolu,26820,Jarwajei Dekepeh Community,,-10.5743,7.79368,3,,Mapping,2013,9,14,30,1,0.033333333,30,1,0.033333333,30,0,0
